km_age,mark,model,power,segment,state,transmission,year,engine_type,region,body_type,color,drive_type,drive_type_imputed,wheell_type,condition,owners_count,price
60000,36,354,188,1,1,0,2018,2,40,13,12,2,0,0,0,1,1600000
74000,3,66,170,2,1,3,2012,2,64,13,1,2,0,0,0,3,1040000
39900,21,5,75,1,1,1,1970,2,64,13,11,0,0,0,0,2,390000
120000,70,488,185,1,1,0,2013,2,64,1,1,3,0,0,0,2,1575000
453844,44,244,215,2,1,0,2000,2,64,1,14,3,0,0,0,3,1098000
0,51,526,171,1,0,3,2020,2,97,1,11,1,1,0,1,0,2369000
26253,72,8,74,0,1,1,2009,2,64,16,12,0,0,0,0,1,210000
44207,32,388,211,2,1,2,2017,2,64,1,12,3,0,0,0,2,1957000
197000,28,174,162,1,1,0,2003,2,64,1,12,3,0,0,0,3,465000
51248,51,242,540,2,1,2,2016,2,64,5,14,3,0,0,0,2,3598000
91864,44,245,507,2,1,0,2011,2,64,1,14,3,0,0,0,3,3448000
0,51,386,144,1,0,3,2020,2,97,1,1,1,1,0,1,0,1755000
100592,44,452,455,2,1,0,2014,2,64,13,14,3,0,0,0,2,3698000
34000,36,121,202,1,1,0,2017,0,64,10,14,2,0,0,0,1,1995000
188864,38,155,99,1,1,3,2011,3,64,19,1,2,0,0,0,3,948000
34123,6,265,231,2,1,0,2015,3,64,5,8,3,0,0,0,1,4900000
63500,73,273,150,1,1,2,2013,2,64,13,1,2,0,0,0,3,799000
68494,20,337,317,1,1,0,2014,2,64,5,11,0,0,0,0,1,1945000
0,51,526,144,1,0,3,2020,2,97,1,14,1,1,0,1,0,2025000
55914,44,136,557,2,1,0,2016,2,64,13,14,3,0,0,0,2,3694000
25000,30,148,123,1,1,0,2019,2,64,1,1,2,0,0,0,1,1100000
201000,36,440,140,1,1,0,2004,0,64,1,14,3,0,0,0,3,330000
0,51,386,144,1,0,3,2020,2,97,1,11,1,1,0,1,0,1772000
84000,36,440,175,1,1,0,2014,2,64,1,6,3,0,0,0,3,1095000
46210,36,375,200,1,1,2,2019,2,64,16,1,2,0,0,0,1,1599000
0,3,382,249,2,0,2,2020,2,64,1,11,1,1,0,1,0,3645222
203667,51,367,405,1,1,0,2014,2,64,1,14,3,0,0,0,3,1648000
0,44,223,330,2,0,0,2019,0,64,1,14,1,1,0,1,0,7383665
93823,6,309,560,2,1,2,2013,2,64,13,1,0,0,0,0,3,2198000
139500,55,124,265,2,1,2,2010,2,64,5,5,0,0,0,0,3,1499000
81000,20,183,360,1,1,0,2013,2,64,1,1,3,0,0,0,3,1149000
0,3,384,249,2,0,0,2020,0,64,1,14,1,1,0,1,0,6368900
64099,44,225,249,2,1,0,2015,0,64,1,1,3,0,0,0,2,3498000
29662,36,279,249,2,1,0,2019,2,64,13,1,3,0,0,0,1,3012000
107500,28,152,190,1,1,0,2013,2,64,1,14,3,0,0,0,3,1245000
15600,72,19,81,0,1,1,2008,2,64,19,10,2,0,0,0,1,230000
138000,44,160,184,2,1,0,2012,2,64,13,14,0,0,0,0,3,880000
93856,44,221,211,2,1,0,2016,2,64,1,11,3,0,0,0,3,1942000
98587,44,225,333,2,1,0,2015,2,64,1,11,3,0,0,0,3,3100000
197512,55,362,500,2,1,2,2009,2,64,19,12,3,0,0,0,3,1798000
7764,55,123,340,2,1,0,2019,2,64,1,11,3,0,0,0,2,7450000
59000,72,295,106,0,1,1,2018,2,64,16,10,2,0,0,0,2,639000
73000,73,466,170,1,1,0,2013,2,65,1,14,3,0,0,0,2,869000
0,3,69,245,2,0,2,2020,2,64,13,10,1,1,0,1,0,3490000
39800,44,83,510,2,1,2,2015,2,64,5,1,0,0,0,0,2,5599000
122000,70,251,273,1,1,0,2012,2,64,1,14,3,0,0,0,1,1250000
82212,44,245,544,2,1,0,2013,2,64,1,14,3,0,0,0,2,4718000
0,49,357,146,1,0,3,2020,2,64,1,1,1,1,0,1,0,1809000
99000,28,370,257,2,1,0,2008,2,64,1,14,3,0,0,0,3,739000
0,70,117,181,1,0,0,2020,2,64,13,1,1,1,0,1,0,2425000
167000,70,293,249,2,1,0,2003,2,64,1,14,3,0,0,0,1,1340000
71073,74,518,225,2,1,0,2015,0,64,1,1,3,0,0,0,2,2584000
60785,3,71,340,2,1,0,2018,2,64,13,14,3,0,0,0,2,4785000
0,3,385,249,2,0,0,2020,0,64,1,14,1,1,0,1,0,6140000
47245,6,513,249,2,1,0,2019,0,64,1,14,3,0,0,0,2,5899000
76000,70,293,173,2,1,0,2015,0,64,1,10,3,0,0,0,1,2499000
146456,44,230,333,2,1,0,2014,2,64,1,14,3,0,0,0,2,2250000
127409,73,335,140,2,1,1,2013,0,64,10,1,2,0,0,0,2,1818000
163727,24,422,301,1,1,0,2011,2,64,10,14,3,0,0,0,3,1630000
107658,6,40,184,2,1,0,2014,0,64,5,12,3,0,0,0,3,1539000
49790,30,259,170,1,1,0,2018,0,64,10,14,0,0,0,0,2,2099000
0,3,68,249,2,0,2,2020,2,64,5,4,1,1,0,1,0,3590000
31000,70,117,181,1,1,0,2019,2,64,13,14,2,0,0,0,1,2100000
138959,44,454,585,2,1,0,2014,2,64,13,14,3,0,0,0,3,3690000
40452,3,71,340,2,1,0,2018,2,64,13,14,3,0,0,0,2,5698000
187000,51,461,249,1,1,3,2011,2,64,13,14,2,0,0,0,3,750000
0,49,357,146,1,0,3,2020,2,64,1,14,1,1,0,1,0,1912000
0,51,386,144,1,0,3,2020,2,64,1,1,1,1,0,1,0,1755000
16426,72,295,106,0,1,1,2020,2,64,16,12,2,0,0,0,1,775000
73277,32,383,211,2,1,0,2014,2,64,13,1,0,0,0,0,3,1305000
0,73,273,150,1,0,0,2020,2,64,13,1,1,1,0,1,0,1927000
124500,72,16,90,0,1,1,2006,2,64,16,12,2,0,0,0,3,149800
68000,6,309,560,2,1,2,2012,2,64,13,1,0,0,0,0,3,2175000
57445,28,73,180,1,1,0,2013,2,64,13,14,2,0,0,0,1,1180000
147000,30,173,122,1,1,0,2009,2,64,13,9,2,0,0,0,3,345000
76259,44,220,211,2,1,0,2016,2,64,1,12,3,0,0,0,3,2998000
37603,44,136,585,2,1,0,2015,2,64,13,11,3,0,0,0,3,4357000
0,44,185,194,2,0,0,2020,0,64,13,12,1,1,0,1,0,4744800
63000,72,22,79,0,1,1,2007,2,64,0,4,3,0,0,0,2,225000
0,44,220,194,2,0,0,2020,0,64,1,14,1,1,0,1,0,5139800
43421,44,161,457,2,1,0,2012,2,64,5,7,0,0,0,0,3,2248000
217000,20,178,145,1,1,0,2008,2,64,1,7,3,0,0,0,3,389000
54240,44,223,245,2,1,0,2019,0,64,1,14,3,0,0,0,2,5198000
169000,73,120,204,1,1,2,2013,2,64,10,10,2,0,0,0,1,1280000
33031,44,454,612,2,1,0,2018,2,64,13,11,3,0,0,0,2,8236800
32360,3,411,560,2,1,0,2015,2,64,16,2,3,0,0,0,3,4995000
11781,72,11,73,0,1,1,2008,2,64,13,12,0,0,0,0,1,185000
139000,70,488,182,1,1,0,2010,2,64,1,11,3,0,0,0,2,1295000
0,73,471,249,2,0,0,2020,0,64,1,6,1,1,0,1,0,5689047
224787,43,158,277,1,1,0,2008,2,64,1,7,3,0,0,0,3,578000
50429,30,421,188,1,1,0,2019,2,64,1,1,3,0,0,0,2,1879000
0,74,516,249,2,0,0,2020,2,64,1,11,1,1,0,1,0,4156700
74774,7,524,314,2,1,0,2016,2,64,1,1,3,0,0,0,2,2064000
67222,20,206,395,1,1,0,2018,2,64,11,10,3,0,0,0,1,4000000
78528,44,227,170,2,1,0,2015,0,64,1,11,3,0,0,0,2,1549000
80656,37,399,180,2,1,0,2017,0,64,1,7,3,0,0,0,3,3298000
0,74,518,249,2,0,0,2020,2,64,1,12,1,1,0,1,0,5181200
66609,44,221,204,2,1,0,2017,0,64,1,14,3,0,0,0,3,2818000
0,44,160,204,2,0,0,2020,2,64,13,1,1,1,0,1,0,3399900
68237,48,137,192,2,1,0,2016,2,64,16,11,2,0,0,0,2,1595000
0,3,68,249,2,0,2,2020,2,64,8,11,1,1,0,1,0,3913937
47944,44,161,510,2,1,0,2017,2,64,5,11,0,0,0,0,2,4178000
67161,55,311,340,2,1,2,2014,2,64,1,7,3,0,0,0,3,2584000
148329,44,244,245,2,1,0,2016,0,64,1,14,3,0,0,0,3,4164000
27071,74,515,150,2,1,0,2018,0,64,1,14,3,0,0,0,1,2590000
170000,30,91,140,1,1,0,2011,2,64,13,14,2,0,0,0,3,470000
81942,44,494,136,2,1,0,2016,0,64,10,12,0,0,0,0,3,2348000
0,44,217,150,2,0,2,2020,2,64,1,11,1,1,0,1,0,2916440
49,44,228,330,2,1,0,2019,0,64,1,14,3,0,0,0,1,9500000
0,44,131,163,2,0,2,2020,2,64,13,10,1,1,0,1,0,3086070
9810,72,11,73,0,1,1,2010,2,64,13,4,0,0,0,0,2,250000
25730,72,11,73,0,1,1,2006,2,64,13,4,0,0,0,0,1,165000
40416,6,513,249,2,1,0,2020,0,64,1,14,3,0,0,0,1,6228000
29000,44,223,249,2,1,0,2017,0,64,1,14,3,0,0,0,1,3700000
248017,28,370,249,2,1,0,2014,2,64,1,1,3,0,0,0,1,1570000
0,51,526,144,1,0,3,2020,2,64,1,14,1,1,0,1,0,2287000
