km_age,mark,model,power,segment,state,transmission,year,engine_type,region,body_type,color,drive_type,wheell_type,condition,owners_count,customs_cleared,price
60000,KIA,OPTIMA,188,MEDIUM,used,AUTOMATIC,2018,GASOLINE,Зеленоград,седан,синий,передний,Левый,Не требует ремонта,1 владелец,Растаможен,1600000
74000,AUDI,A4,170,PREMIUM,used,VARIATOR,2012,GASOLINE,Москва,седан,белый,передний,Левый,Не требует ремонта,3 или более,Растаможен,1040000
39900,GAZ,21,75,MEDIUM,used,MECHANICAL,1970,GASOLINE,Москва,седан,серый,задний,Левый,Не требует ремонта,2 владельца,Растаможен,390000
120000,TOYOTA,VENZA,185,MEDIUM,used,AUTOMATIC,2013,GASOLINE,Москва,внедорожник 5 дв.,белый,полный,Левый,Не требует ремонта,2 владельца,Растаможен,1575000
453844,MERCEDES,G_KLASSE,215,PREMIUM,used,AUTOMATIC,2000,GASOLINE,Москва,внедорожник 5 дв.,чёрный,полный,Левый,Не требует ремонта,3 или более,Растаможен,1098000
0,NISSAN,X_TRAIL,171,MEDIUM,new,VARIATOR,2020,GASOLINE,Химки,внедорожник 5 дв.,серый,неизвестно,Левый,Новая,0 владелецев,Растаможен,2369000
26253,VAZ,2104,74,ECONOMY,used,MECHANICAL,2009,GASOLINE,Москва,универсал 5 дв.,синий,задний,Левый,Не требует ремонта,1 владелец,Растаможен,210000
23,MERCEDES,V_KLASSE,190,PREMIUM,used,AUTOMATIC,2019,DIESEL,Москва,минивэн,чёрный,полный,Левый,Не требует ремонта,1 владелец,Растаможен,23000000
44207,INFINITI,QX30,211,PREMIUM,used,ROBOT,2017,GASOLINE,Москва,внедорожник 5 дв.,синий,полный,Левый,Не требует ремонта,2 владельца,Растаможен,1957000
197000,HONDA,ELEMENT,162,MEDIUM,used,AUTOMATIC,2003,GASOLINE,Москва,внедорожник 5 дв.,синий,полный,Левый,Не требует ремонта,3 или более,Растаможен,465000
0,MERCEDES,G_KLASSE_AMG,585,PREMIUM,new,AUTOMATIC,2020,GASOLINE,Москва,внедорожник 5 дв.,чёрный,неизвестно,Левый,Новая,0 владелецев,Растаможен,28300000
51248,NISSAN,GT_R,540,PREMIUM,used,ROBOT,2016,GASOLINE,Москва,купе,чёрный,полный,Левый,Не требует ремонта,2 владельца,Растаможен,3598000
33,MERCEDES,G_KLASSE_AMG,585,PREMIUM,used,AUTOMATIC,2020,GASOLINE,Москва,внедорожник 5 дв.,чёрный,полный,Левый,Не требует ремонта,1 владелец,Растаможен,28800000
0,MERCEDES,S_CLASS_MAYBACH,367,PREMIUM,new,AUTOMATIC,2019,GASOLINE,Москва,седан,чёрный,неизвестно,Левый,Новая,0 владелецев,Растаможен,13493200
